"fig_id","seccion","subdim","figura","visualizacion","archivo","hoja","columnas_clave","tipo_grafico","salida","helper","estado","notas"
56,"06_Desarrollo_Rural",,"Extensión municipal y suelo rural (ha)","Tabla","desarrollo_rural.xlsx","area_km2","Área municipal (km²)","tabla","tabla","estilo_tabla","fuera de alcance","Suelo rural sin fuente (pendiente conocido)."
57,"06_Desarrollo_Rural",,"Participación del suelo rural en el total","Gráfico","desarrollo_rural.xlsx","area_km2","—","barra_h","nativo","enc_hbar","fuera de alcance","Suelo rural sin fuente (pendiente conocido)."
58,"06_Desarrollo_Rural",,"Proporción producción agrícola por municipio y tipo","Gráfico","desarrollo_rural.xlsx","composicion_agricola","Prop. permanentes/transitorios","barra_h_apilada_100","nativo","enc_hbar","hecho",
59,"06_Desarrollo_Rural",,"Composición % producción agrícola PAP","Gráfico","desarrollo_rural.xlsx","composicion_agricola","Permanentes vs transitorios (provincia)","torta","nativo","enc_pie (NUEVO)","hecho","Alternativa: barra apilada."
60,"06_Desarrollo_Rural",,"Principales cultivos transitorios y permanentes","Tabla","desarrollo_rural.xlsx","permanentes/transitorios","Cultivo, área, producción","tabla","tabla","estilo_tabla","hecho","Dos hojas."
61,"06_Desarrollo_Rural",,"% Área perdida vs Rendimiento","Gráfico","desarrollo_rural.xlsx","rendimiento (+permanentes/transitorios)","Área perdida (der.) vs rendimiento","dispersion","nativo","enc_scatter (NUEVO)","hecho","Área perdida = (sembrada-cosechada)/sembrada."
62,"07_Ambiental","7.1","Clima, Hidrografía y Vegetación","Tabla","ambiental.xlsx","(sin hoja)","—","tabla","tabla","estilo_tabla","fuera de alcance","Descriptiva sin fuente (pendiente conocido)."
63,"07_Ambiental","7.1","Áreas Protegidas","Tabla","ambiental.xlsx","detalle","Área protegida, categoría, %","tabla","tabla","estilo_tabla","hecho",
64,"07_Ambiental","7.1","IRCA","Tabla","ambiental.xlsx","irca","IRCA y nivel de riesgo","tabla","tabla","estilo_tabla","hecho",
65,"07_Ambiental","7.2","Pérdida de cobertura arbórea 2001-2023","Gráfico","ambiental.xlsx","perdida_cobertura","Pérdida de cobertura (fracción)","barra_h","nativo","enc_hbar","hecho",
66,"07_Ambiental","7.2","Ocurrencia de desastres seleccionados","Tabla","ambiental.xlsx","desastres_selectos","Eventos por tipo","tabla","tabla","estilo_tabla","hecho",
67,"07_Ambiental","7.2","IMRC exceso/déficit de lluvias","Tabla","ambiental.xlsx","imrc","IMRC exceso/déficit","tabla","tabla","estilo_tabla","hecho",
68,"08_Educacion",,"Cobertura neta en educación","Gráfico","educacion.xlsx","educacion","Cobertura neta (último año)","barra_h","nativo","enc_hbar","hecho","Varios años: filtrar."
69,"08_Educacion",,"Deserción escolar","Gráfico","educacion.xlsx","educacion","Tasa de deserción","barra_h","nativo","enc_hbar","hecho",
70,"08_Educacion",,"Repitencia escolar","Gráfico","educacion.xlsx","educacion","Tasa de repitencia","barra_h","nativo","enc_hbar","hecho",
71,"09_Salud",,"Composición de afiliados al SGSSS","Gráfico","salud.xlsx","aseguramiento_sgsss","% por régimen","barra_h_apilada_100","nativo","enc_hbar","hecho",
72,"09_Salud",,"Bajo peso al nacer","Gráfico","salud.xlsx","bajo_peso","% bajo peso","barra_h","nativo","enc_hbar","hecho",
73,"09_Salud",,"Mortalidad infantil 2020-2024","Tabla","salud.xlsx","mortalidad_infantil","Tasa por 1.000 nacidos","tabla","tabla","estilo_tabla","hecho","Varios años."
74,"09_Salud",,"Tasa dengue/malaria/leishmaniasis","Gráfico","salud.xlsx","enfermedades_tropicales","Tasas por 100 mil (3 enfermedades)","barra_agrupada","nativo","enc_hbar (clustered)","hecho",
75,"09_Salud",,"Intento de suicidio vs suicidio consumado","Gráfico","salud.xlsx","suicidios","Tasa intento vs consumado","barra_agrupada","nativo","enc_hbar (clustered)","hecho","Alternativa dumbbell."
76,"10_Seguridad","10.1","Densidad de cultivos ilícitos (coca)","Tabla","seguridad.xlsx","coca","Ha coca, %","tabla","tabla","estilo_tabla","hecho","1 fila."
77,"10_Seguridad","10.1","Explotación de Oro de Aluvión (EVOA)","Tabla","seguridad.xlsx","evoa","Ha con permisos/tránsito/ilícita","tabla","tabla","estilo_tabla","hecho",
78,"10_Seguridad","10.1","Percepción de seguridad 2019-2025","Gráfico","seguridad.xlsx","P1A_barrio/P2/P4A/P6","% percepción por periodo","linea/apilada","nativo","enc_line (NUEVO)","hecho","Serie por periodo, nivel subregión."
79,"10_Seguridad","10.2","Tasa solicitudes tierras despojadas","Gráfico","seguridad.xlsx","tasas","Tasa por 1.000 hab","barra_h","nativo","enc_hbar","hecho",
80,"10_Seguridad","10.2","Proporción de personas desaparecidas","Gráfico","seguridad.xlsx","desaparecidos","Proporción dentro de la provincia","barra_h","nativo","enc_hbar","hecho",
81,"10_Seguridad","10.2","Total de víctimas por ocurrencia","Gráfico","seguridad.xlsx","total_victimas","Víctimas por ocurrencia","barra_h","nativo","enc_hbar","hecho",
82,"10_Seguridad","10.2","Composición por hecho victimizante","Gráfico","seguridad.xlsx","proporcion_hechos","Proporción por hecho","torta","nativo","enc_pie (NUEVO)","hecho","Alternativa: barra_h."
83,"10_Seguridad","10.1","Tasa de delitos de alto impacto","Tabla","seguridad.xlsx","delitos","Hurtos/homicidios/VIF/sexuales","tabla","tabla","estilo_tabla","hecho",
84,"10_Seguridad","10.3","Índice de riesgo de victimización","Tabla","seguridad.xlsx","irv","IRV y categoría","tabla","tabla","estilo_tabla","hecho",
85,"10_Seguridad","10.3","Solicitudes de restitución de tierras (SRTDAF)","Tabla","seguridad.xlsx","srtdaf","Solicitudes, predios, titulares","tabla","tabla","estilo_tabla","hecho",
